State,District,Season,Climate_Zone,Avg_Temperature_C,Avg_Rainfall_mm,Avg_Humidity_%,Soil_Type,Soil_pH
Andhra Pradesh,Anantapur,Kharif,Semi-arid,25.4,531,63,Red Sandy,6.7
Andhra Pradesh,Anantapur,Rabi,Semi-arid,22.4,132,48,Red Sandy,6.7
Andhra Pradesh,Anantapur,Zaid,Semi-arid,32.4,88,43,Red Sandy,6.7
Andhra Pradesh,Chittoor,Kharif,Semi-arid,25.1,1458,77,Red Sandy,5.6
Andhra Pradesh,Chittoor,Rabi,Semi-arid,22.1,364,62,Red Sandy,5.6
Andhra Pradesh,Chittoor,Zaid,Semi-arid,32.1,243,57,Red Sandy,5.6
Andhra Pradesh,East Godavari,Kharif,Semi-arid,25.8,1345,77,Red Sandy,6.3
Andhra Pradesh,East Godavari,Rabi,Semi-arid,22.8,336,62,Red Sandy,6.3
Andhra Pradesh,East Godavari,Zaid,Semi-arid,32.8,224,57,Red Sandy,6.3
Andhra Pradesh,Guntur,Kharif,Semi-arid,26.3,1309,75,Red Sandy,5.6
Andhra Pradesh,Guntur,Rabi,Semi-arid,23.3,327,60,Red Sandy,5.6
Andhra Pradesh,Guntur,Zaid,Semi-arid,33.3,218,55,Red Sandy,5.6
Andhra Pradesh,Krishna,Kharif,Semi-arid,26.3,1320,81,Red Sandy,6.1
Andhra Pradesh,Krishna,Rabi,Semi-arid,23.3,330,66,Red Sandy,6.1
Andhra Pradesh,Krishna,Zaid,Semi-arid,33.3,220,61,Red Sandy,6.1
Andhra Pradesh,Kurnool,Kharif,Semi-arid,26.1,688,63,Red Sandy,5.8
Andhra Pradesh,Kurnool,Rabi,Semi-arid,23.1,172,48,Red Sandy,5.8
Andhra Pradesh,Kurnool,Zaid,Semi-arid,33.1,114,43,Red Sandy,5.8
Andhra Pradesh,Nellore,Kharif,Semi-arid,26.8,1374,74,Red Sandy,5.5
Andhra Pradesh,Nellore,Rabi,Semi-arid,23.8,343,59,Red Sandy,5.5
Andhra Pradesh,Nellore,Zaid,Semi-arid,33.8,229,54,Red Sandy,5.5
Andhra Pradesh,Prakasam,Kharif,Semi-arid,26.7,1106,74,Red Sandy,6.0
Andhra Pradesh,Prakasam,Rabi,Semi-arid,23.7,276,59,Red Sandy,6.0
Andhra Pradesh,Prakasam,Zaid,Semi-arid,33.7,184,54,Red Sandy,6.0
Andhra Pradesh,Srikakulam,Kharif,Semi-arid,25.1,1488,76,Red Sandy,6.3
Andhra Pradesh,Srikakulam,Rabi,Semi-arid,22.1,372,61,Red Sandy,6.3
Andhra Pradesh,Srikakulam,Zaid,Semi-arid,32.1,248,56,Red Sandy,6.3
Andhra Pradesh,Visakhapatnam,Kharif,Semi-arid,25.6,1530,81,Red Sandy,5.9
Andhra Pradesh,Visakhapatnam,Rabi,Semi-arid,22.6,382,66,Red Sandy,5.9
Andhra Pradesh,Visakhapatnam,Zaid,Semi-arid,32.6,255,61,Red Sandy,5.9
Andhra Pradesh,Vizianagaram,Kharif,Semi-arid,24.1,1576,77,Red Sandy,5.6
Andhra Pradesh,Vizianagaram,Rabi,Semi-arid,21.1,394,62,Red Sandy,5.6
Andhra Pradesh,Vizianagaram,Zaid,Semi-arid,31.1,262,57,Red Sandy,5.6
Andhra Pradesh,West Godavari,Kharif,Semi-arid,26.2,1375,78,Red Sandy,5.9
Andhra Pradesh,West Godavari,Rabi,Semi-arid,23.2,343,63,Red Sandy,5.9
Andhra Pradesh,West Godavari,Zaid,Semi-arid,33.2,229,58,Red Sandy,5.9
Andhra Pradesh,YSR Kadapa,Kharif,Semi-arid,26.2,783,67,Red Sandy,6.1
Andhra Pradesh,YSR Kadapa,Rabi,Semi-arid,23.2,195,52,Red Sandy,6.1
Andhra Pradesh,YSR Kadapa,Zaid,Semi-arid,33.2,130,47,Red Sandy,6.1
Arunachal Pradesh,Anjaw,Kharif,Mountain,24.6,1484,65,Mountain Soil,6.6
Arunachal Pradesh,Anjaw,Rabi,Mountain,21.6,371,50,Mountain Soil,6.6
Arunachal Pradesh,Anjaw,Zaid,Mountain,31.6,247,45,Mountain Soil,6.6
Arunachal Pradesh,Changlang,Kharif,Mountain,24.6,1484,65,Mountain Soil,5.6
Arunachal Pradesh,Changlang,Rabi,Mountain,21.6,371,50,Mountain Soil,5.6
Arunachal Pradesh,Changlang,Zaid,Mountain,31.6,247,45,Mountain Soil,5.6
Arunachal Pradesh,Dibang Valley,Kharif,Mountain,24.6,1484,65,Mountain Soil,5.5
Arunachal Pradesh,Dibang Valley,Rabi,Mountain,21.6,371,50,Mountain Soil,5.5
Arunachal Pradesh,Dibang Valley,Zaid,Mountain,31.6,247,45,Mountain Soil,5.5
Arunachal Pradesh,East Kameng,Kharif,Mountain,24.6,1484,65,Mountain Soil,6.1
Arunachal Pradesh,East Kameng,Rabi,Mountain,21.6,371,50,Mountain Soil,6.1
Arunachal Pradesh,East Kameng,Zaid,Mountain,31.6,247,45,Mountain Soil,6.1
Arunachal Pradesh,East Siang,Kharif,Mountain,24.6,1484,65,Mountain Soil,6.1
Arunachal Pradesh,East Siang,Rabi,Mountain,21.6,371,50,Mountain Soil,6.1
Arunachal Pradesh,East Siang,Zaid,Mountain,31.6,247,45,Mountain Soil,6.1
Arunachal Pradesh,Kamle,Kharif,Mountain,24.6,1484,65,Mountain Soil,5.8
Arunachal Pradesh,Kamle,Rabi,Mountain,21.6,371,50,Mountain Soil,5.8
Arunachal Pradesh,Kamle,Zaid,Mountain,31.6,247,45,Mountain Soil,5.8
Arunachal Pradesh,Kra Daadi,Kharif,Mountain,24.6,1484,65,Mountain Soil,5.7
Arunachal Pradesh,Kra Daadi,Rabi,Mountain,21.6,371,50,Mountain Soil,5.7
Arunachal Pradesh,Kra Daadi,Zaid,Mountain,31.6,247,45,Mountain Soil,5.7
Arunachal Pradesh,Kurung Kumey,Kharif,Mountain,24.6,1484,65,Mountain Soil,6.1
Arunachal Pradesh,Kurung Kumey,Rabi,Mountain,21.6,371,50,Mountain Soil,6.1
Arunachal Pradesh,Kurung Kumey,Zaid,Mountain,31.6,247,45,Mountain Soil,6.1
Arunachal Pradesh,Lepa Rada,Kharif,Mountain,24.6,1484,65,Mountain Soil,6.8
Arunachal Pradesh,Lepa Rada,Rabi,Mountain,21.6,371,50,Mountain Soil,6.8
Arunachal Pradesh,Lepa Rada,Zaid,Mountain,31.6,247,45,Mountain Soil,6.8
Arunachal Pradesh,Lohit,Kharif,Mountain,24.6,1484,65,Mountain Soil,6.5
Arunachal Pradesh,Lohit,Rabi,Mountain,21.6,371,50,Mountain Soil,6.5
Arunachal Pradesh,Lohit,Zaid,Mountain,31.6,247,45,Mountain Soil,6.5
Arunachal Pradesh,Longding,Kharif,Mountain,24.6,1484,65,Mountain Soil,6.5
Arunachal Pradesh,Longding,Rabi,Mountain,21.6,371,50,Mountain Soil,6.5
Arunachal Pradesh,Longding,Zaid,Mountain,31.6,247,45,Mountain Soil,6.5
Arunachal Pradesh,Lower Dibang Valley,Kharif,Mountain,24.6,1484,65,Mountain Soil,5.9
Arunachal Pradesh,Lower Dibang Valley,Rabi,Mountain,21.6,371,50,Mountain Soil,5.9
Arunachal Pradesh,Lower Dibang Valley,Zaid,Mountain,31.6,247,45,Mountain Soil,5.9
Arunachal Pradesh,Lower Siang,Kharif,Mountain,24.6,1484,65,Mountain Soil,5.5
Arunachal Pradesh,Lower Siang,Rabi,Mountain,21.6,371,50,Mountain Soil,5.5
Arunachal Pradesh,Lower Siang,Zaid,Mountain,31.6,247,45,Mountain Soil,5.5
Arunachal Pradesh,Lower Subansiri,Kharif,Mountain,24.6,1484,65,Mountain Soil,6.2
Arunachal Pradesh,Lower Subansiri,Rabi,Mountain,21.6,371,50,Mountain Soil,6.2
Arunachal Pradesh,Lower Subansiri,Zaid,Mountain,31.6,247,45,Mountain Soil,6.2
Arunachal Pradesh,Namsai,Kharif,Mountain,24.6,1484,65,Mountain Soil,6.0
Arunachal Pradesh,Namsai,Rabi,Mountain,21.6,371,50,Mountain Soil,6.0
Arunachal Pradesh,Namsai,Zaid,Mountain,31.6,247,45,Mountain Soil,6.0
Arunachal Pradesh,Pakke Kessang,Kharif,Mountain,24.6,1484,65,Mountain Soil,6.2
Arunachal Pradesh,Pakke Kessang,Rabi,Mountain,21.6,371,50,Mountain Soil,6.2
Arunachal Pradesh,Pakke Kessang,Zaid,Mountain,31.6,247,45,Mountain Soil,6.2
Arunachal Pradesh,Papum Pare,Kharif,Mountain,24.6,1484,65,Mountain Soil,6.7
Arunachal Pradesh,Papum Pare,Rabi,Mountain,21.6,371,50,Mountain Soil,6.7
Arunachal Pradesh,Papum Pare,Zaid,Mountain,31.6,247,45,Mountain Soil,6.7
Arunachal Pradesh,Shi Yomi,Kharif,Mountain,24.6,1484,65,Mountain Soil,6.2
Arunachal Pradesh,Shi Yomi,Rabi,Mountain,21.6,371,50,Mountain Soil,6.2
Arunachal Pradesh,Shi Yomi,Zaid,Mountain,31.6,247,45,Mountain Soil,6.2
